CardedItems-Appliances-end,14
CardedItems-Clothing-end,28
CardedItems-Digital-end,240
CardedItems-Electronics-end,54
CardedItems-Other-end,176
CounterfeitItems-Clothing-end,660
CounterfeitItems-Electronics-Electronics-end,223
CounterfeitItems-FakeIDs-FakeIDs-end,374
CounterfeitItems-Jewelry-Jewel-end,436
CounterfeitItems-Jewelry-Jewelry-end,175
CounterfeitItems-Money-Money-end,388
CounterfeitItems-Other-Other-end,429
DigitalProducts-EBooks-EBook-end,114
DigitalProducts-EBooks-EBooks-end,563
DigitalProducts-FraudSoftware-end,156
DigitalProducts-FraudSoftware-FraudSoftware-end,301
DigitalProducts-GameKeys-Game-end,177
DigitalProducts-GameKeys-GameKeys-end,53
DigitalProducts-LegitSoftware-end,70
DigitalProducts-LegitSoftware-LegitSoftware-end,736
DigitalProducts-Other-Other-end,764
Drugs&Chemicals-Benzos-Other-end,77
Drugs&Chemicals-Benzos-Pills-end,652
Drugs&Chemicals-Benzos-Powder-end,65
Drugs&Chemicals-Benzos-RC-end,196
Drugs&Chemicals-Cannabis&Hashish-Buds&Flowers-end,832
Drugs&Chemicals-Cannabis&Hashish-Concentrates-end,243
Drugs&Chemicals-Cannabis&Hashish-Edibles-end,453
Drugs&Chemicals-Cannabis&Hashish-Hash-end,340
Drugs&Chemicals-Cannabis&Hashish-Other-end,436
Drugs&Chemicals-Cannabis&Hashish-Prerolls-end,117
Drugs&Chemicals-Cannabis&Hashish-Seeds-end,382
Drugs&Chemicals-Cannabis&Hashish-Shake-end,193
Drugs&Chemicals-Cannabis&Hashish-Synthetic-end,263
Drugs&Chemicals-Cannabis&Hashish-Topicals&Others-end,59
Drugs&Chemicals-Dissociatives-GHB-end,207
Drugs&Chemicals-Dissociatives-Ketamine-end,741
Drugs&Chemicals-Dissociatives-MXE-end,62
Drugs&Chemicals-Dissociatives-Other-end,136
Drugs&Chemicals-Ecstasy-MDA-end,100
Drugs&Chemicals-Ecstasy-MDMA-end,335
Drugs&Chemicals-Ecstasy-Methy-end,139
Drugs&Chemicals-Ecstasy-Methylone&BK-end,77
Drugs&Chemicals-Ecstasy-Other-end,325
Drugs&Chemicals-Ecstasy-Pills-end,282
Drugs&Chemicals-Opioids-Fentanyl&RCs-end,348
Drugs&Chemicals-Opioids-Heroin-end,701
Drugs&Chemicals-Opioids-Other-end,63
Drugs&Chemicals-Opioids-Pills-end,639
Drugs&Chemicals-Other-end,479
Drugs&Chemicals-Paraphernalia-end,203
Drugs&Chemicals-Prescription--end,405
Drugs&Chemicals-Prescription-end,203
Drugs&Chemicals-Psychedelics-2CB-end,313
Drugs&Chemicals-Psychedelics-DMADOX-end,71
Drugs&Chemicals-Psychedelics-DMT-end,366
Drugs&Chemicals-Psychedelics-LSA-end,8
Drugs&Chemicals-Psychedelics-LSD-end,776
Drugs&Chemicals-Psychedelics-Mescaline-end,45
Drugs&Chemicals-Psychedelics-NBOME-end,45
Drugs&Chemicals-Psychedelics-Other-end,265
Drugs&Chemicals-Psychedelics-OtherRCs-end,120
Drugs&Chemicals-Psychedelics-Shrooms-end,629
Drugs&Chemicals-Steroids-Steroids-end,677
Drugs&Chemicals-Stimulants-2--end,24
Drugs&Chemicals-Stimulants-2-FA-end,18
Drugs&Chemicals-Stimulants-Adderal&Vyvanse-end,33
Drugs&Chemicals-Stimulants-Cocaine-end,426
Drugs&Chemicals-Stimulants-Crack-end,424
Drugs&Chemicals-Stimulants-Meth-end,393
Drugs&Chemicals-Stimulants-Ot-end,363
Drugs&Chemicals-Stimulants-Other-end,341
Drugs&Chemicals-Stimulants-OtherRCs-end,116
